method,seed,heldout,n_test,accuracy,macro_f1,embedding_only_accuracy,embedding_only_macro_f1,train_graph_hash,test_graph_hash,support_graph_hash,trainable_parameters,test_mask_leakage_check
coregate_full_rule,20260921,single_host_ubuntu22_container,88,0.9431818181818182,0.914814814814815,0.9545454545454546,0.9244444444444445,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225968,True
ordinary,20260922,env_ubuntu22_template_v1,55,0.9272727272727272,0.9548148148148147,0.9272727272727272,0.9466666666666665,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,225839,True
ordinary,20260922,env_ubuntu22_v1,54,0.9074074074074074,0.9386363636363634,0.9074074074074074,0.9386363636363634,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,225839,True
ordinary,20260922,env_ubuntu22_v2,163,0.9079754601226994,0.9437037037037036,0.9079754601226994,0.9437037037037036,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,225839,True
ordinary,20260922,single_host_ubuntu22_container,88,0.9090909090909091,0.8644444444444442,0.9090909090909091,0.8644444444444442,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225839,True
learned_attention,20260922,env_ubuntu22_template_v1,55,0.8727272727272727,0.9140740740740739,0.8727272727272727,0.9140740740740739,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,225968,True
learned_attention,20260922,env_ubuntu22_v1,54,0.9074074074074074,0.9386363636363634,0.9074074074074074,0.9386363636363634,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,225968,True
learned_attention,20260922,env_ubuntu22_v2,163,0.8711656441717791,0.9059259259259258,0.8711656441717791,0.9059259259259258,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,225968,True
learned_attention,20260922,single_host_ubuntu22_container,88,0.8863636363636364,0.8564021164021163,0.8636363636363636,0.8356613756613754,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225968,True
sagpool_50,20260922,env_ubuntu22_template_v1,55,0.8727272727272727,0.9140740740740739,0.8727272727272727,0.9140740740740739,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,226097,True
sagpool_50,20260922,env_ubuntu22_v1,54,0.8703703703703703,0.912121212121212,0.8703703703703703,0.912121212121212,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,226097,True
sagpool_50,20260922,env_ubuntu22_v2,163,0.8895705521472392,0.9059259259259258,0.8895705521472392,0.9059259259259258,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,226097,True
sagpool_50,20260922,single_host_ubuntu22_container,88,0.8068181818181818,0.7342857142857142,0.8068181818181818,0.7342857142857142,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,226097,True
coregate_lineage,20260922,env_ubuntu22_template_v1,55,0.9636363636363636,0.9688888888888889,0.9636363636363636,0.977037037037037,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,225968,True
coregate_lineage,20260922,env_ubuntu22_v1,54,0.9629629629629629,0.9772727272727273,0.9629629629629629,0.9772727272727273,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,225968,True
coregate_lineage,20260922,env_ubuntu22_v2,163,0.9631901840490797,0.977037037037037,0.9631901840490797,0.977037037037037,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,225968,True
coregate_lineage,20260922,single_host_ubuntu22_container,88,0.9431818181818182,0.8859259259259259,0.9431818181818182,0.8859259259259259,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225968,True
coregate_full_rule,20260922,env_ubuntu22_template_v1,55,0.9636363636363636,0.9688888888888889,0.9636363636363636,0.9688888888888889,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,225968,True
coregate_full_rule,20260922,env_ubuntu22_v1,54,0.9629629629629629,0.9765151515151516,0.9629629629629629,0.9765151515151516,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,225968,True
coregate_full_rule,20260922,env_ubuntu22_v2,163,0.9447852760736196,0.9666666666666667,0.9447852760736196,0.9666666666666667,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,225968,True
coregate_full_rule,20260922,single_host_ubuntu22_container,88,0.9431818181818182,0.8970370370370369,0.9431818181818182,0.8970370370370369,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225968,True
ordinary,20260923,env_ubuntu22_template_v1,55,0.9272727272727272,0.9548148148148147,0.9272727272727272,0.9548148148148147,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,225839,True
ordinary,20260923,env_ubuntu22_v1,54,0.9259259259259259,0.9537878787878786,0.9259259259259259,0.9537878787878786,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,225839,True
ordinary,20260923,env_ubuntu22_v2,163,0.9263803680981595,0.9548148148148147,0.9263803680981595,0.9548148148148147,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,225839,True
ordinary,20260923,single_host_ubuntu22_container,88,0.9204545454545454,0.8777777777777778,0.9204545454545454,0.8777777777777778,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225839,True
learned_attention,20260923,env_ubuntu22_template_v1,55,0.8727272727272727,0.914074074074074,0.8727272727272727,0.914074074074074,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,225968,True
learned_attention,20260923,env_ubuntu22_v1,54,0.9074074074074074,0.9386363636363634,0.8888888888888888,0.9083333333333332,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,225968,True
learned_attention,20260923,env_ubuntu22_v2,163,0.7791411042944786,0.7955555555555557,0.7791411042944786,0.7955555555555557,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,225968,True
learned_attention,20260923,single_host_ubuntu22_container,88,0.8863636363636364,0.8467724867724865,0.8863636363636364,0.848253968253968,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225968,True
sagpool_50,20260923,env_ubuntu22_template_v1,55,0.8909090909090909,0.9103703703703703,0.8909090909090909,0.9103703703703703,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,226097,True
sagpool_50,20260923,env_ubuntu22_v1,54,0.8148148148148148,0.8439393939393938,0.7962962962962963,0.8333333333333333,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,226097,True
