outer_seed,fold_seed,heldout,n_test,ordinary_accuracy,ordinary_macro_f1,process_only_accuracy,process_only_macro_f1,accuracy_gain,macro_f1_gain,train_core_mask,train_positive_count_max_abs_delta,test_mask_leakage_check
20260921,20260921,env_ubuntu22_template_v1,55,0.9090909090909091,0.9399999999999997,0.9636363636363636,0.977037037037037,0.054545454545454564,0.03703703703703731,process_only,13,True
20260921,20260922,env_ubuntu22_v1,54,0.9074074074074074,0.9386363636363634,0.9629629629629629,0.9772727272727273,0.05555555555555547,0.03863636363636391,process_only,13,True
20260921,20260923,env_ubuntu22_v2,163,0.9079754601226994,0.9399999999999997,0.9447852760736196,0.965925925925926,0.036809815950920255,0.02592592592592624,process_only,13,True
20260921,20260924,single_host_ubuntu22_container,88,0.9318181818181818,0.8888888888888888,0.9545454545454546,0.9244444444444443,0.022727272727272818,0.03555555555555545,process_only,13,True
20260922,20260922,env_ubuntu22_template_v1,55,0.9272727272727272,0.9548148148148147,0.9636363636363636,0.977037037037037,0.036363636363636376,0.022222222222222365,process_only,13,True
20260922,20260923,env_ubuntu22_v1,54,0.9074074074074074,0.9386363636363634,0.9629629629629629,0.9765151515151516,0.05555555555555547,0.03787878787878818,process_only,13,True
20260922,20260924,env_ubuntu22_v2,163,0.9079754601226994,0.9437037037037036,0.9079754601226994,0.9214814814814813,0.0,-0.022222222222222254,process_only,13,True
20260922,20260925,single_host_ubuntu22_container,88,0.9090909090909091,0.8644444444444442,0.9431818181818182,0.8985185185185186,0.03409090909090917,0.03407407407407437,process_only,13,True
20260923,20260923,env_ubuntu22_template_v1,55,0.9272727272727272,0.9548148148148147,0.9636363636363636,0.977037037037037,0.036363636363636376,0.022222222222222365,process_only,13,True
20260923,20260924,env_ubuntu22_v1,54,0.9259259259259259,0.9537878787878786,0.9629629629629629,0.9772727272727273,0.03703703703703698,0.023484848484848664,process_only,13,True
20260923,20260925,env_ubuntu22_v2,163,0.9263803680981595,0.9548148148148147,0.9631901840490797,0.9777777777777777,0.036809815950920255,0.022962962962963074,process_only,13,True
20260923,20260926,single_host_ubuntu22_container,88,0.9204545454545454,0.8777777777777778,0.9431818181818182,0.9118518518518518,0.022727272727272818,0.034074074074074034,process_only,13,True
