method,seed,heldout,n_test,accuracy,macro_f1,train_graph_hash,test_graph_hash,support_graph_hash,test_mask_leakage_check
lineage_clean,20260922,env_ubuntu22_v2,163,0.9631901840490797,0.977037037037037,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True
lineage_clean,20260922,single_host_ubuntu22_container,88,0.9431818181818182,0.8859259259259259,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True
lineage_drop50,20260922,env_ubuntu22_template_v1,55,0.9636363636363636,0.9777777777777777,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True
lineage_drop50,20260922,env_ubuntu22_v1,54,0.9629629629629629,0.9772727272727273,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True
lineage_drop50,20260922,env_ubuntu22_v2,163,0.9631901840490797,0.977037037037037,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True
lineage_drop50,20260922,single_host_ubuntu22_container,88,0.9431818181818182,0.8985185185185186,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True
ordinary,20260923,env_ubuntu22_template_v1,55,0.9272727272727272,0.9548148148148147,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True
ordinary,20260923,env_ubuntu22_v1,54,0.9259259259259259,0.9537878787878786,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True
ordinary,20260923,env_ubuntu22_v2,163,0.9263803680981595,0.9548148148148147,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True
ordinary,20260923,single_host_ubuntu22_container,88,0.9204545454545454,0.8777777777777778,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True
lineage_clean,20260923,env_ubuntu22_template_v1,55,0.9636363636363636,0.9688888888888889,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True
lineage_clean,20260923,env_ubuntu22_v1,54,0.9629629629629629,0.9765151515151516,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True
lineage_clean,20260923,env_ubuntu22_v2,163,0.9631901840490797,0.977037037037037,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True
lineage_clean,20260923,single_host_ubuntu22_container,88,0.9431818181818182,0.8992592592592593,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True
lineage_drop50,20260923,env_ubuntu22_template_v1,55,0.9636363636363636,0.977037037037037,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,True
lineage_drop50,20260923,env_ubuntu22_v1,54,0.9629629629629629,0.9772727272727273,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,True
lineage_drop50,20260923,env_ubuntu22_v2,163,0.9631901840490797,0.977037037037037,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,True
lineage_drop50,20260923,single_host_ubuntu22_container,88,0.9431818181818182,0.8970370370370369,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,True
