mode,method,seed,heldout,train_samples,test_samples,test_classes,train_template_groups,test_template_groups,template_overlap,train_hash,test_hash,support_hash,accuracy,macro_f1
joint,lineage,20260922,env_ubuntu22_v1,57,54,44,56,54,0,c93ec3c7fd718a9a,66d66b092e1d21f7,06f9dbecf5e93b3e,0.9444444444444444,0.9659090909090909
joint,ordinary,20260922,env_ubuntu22_v2,55,163,45,55,55,0,1b50f7adc69aef67,5942f7b459cb4357,bff5e4919cd9d9d2,0.7975460122699386,0.8238095238095238
joint,lineage,20260922,env_ubuntu22_v2,55,163,45,55,55,0,1b50f7adc69aef67,5942f7b459cb4357,bff5e4919cd9d9d2,0.9447852760736196,0.9666666666666667
joint,ordinary,20260922,single_host_ubuntu22_container,55,88,45,55,55,0,1b50f7adc69aef67,d7bb44bd868845c3,bff5e4919cd9d9d2,0.8636363636363636,0.8074074074074074
joint,lineage,20260922,single_host_ubuntu22_container,55,88,45,55,55,0,1b50f7adc69aef67,d7bb44bd868845c3,bff5e4919cd9d9d2,0.9431818181818182,0.8990476190476189
joint,ordinary,20260923,env_ubuntu22_template_v1,305,55,45,55,55,0,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,0.9090909090909091,0.9399999999999997
joint,lineage,20260923,env_ubuntu22_template_v1,305,55,45,55,55,0,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,0.9636363636363636,0.9688888888888889
joint,ordinary,20260923,env_ubuntu22_v1,57,54,44,56,54,0,c93ec3c7fd718a9a,66d66b092e1d21f7,06f9dbecf5e93b3e,0.8888888888888888,0.9166666666666667
joint,lineage,20260923,env_ubuntu22_v1,57,54,44,56,54,0,c93ec3c7fd718a9a,66d66b092e1d21f7,06f9dbecf5e93b3e,0.9629629629629629,0.9772727272727273
joint,ordinary,20260923,env_ubuntu22_v2,55,163,45,55,55,0,1b50f7adc69aef67,5942f7b459cb4357,bff5e4919cd9d9d2,0.852760736196319,0.862222222222222
joint,lineage,20260923,env_ubuntu22_v2,55,163,45,55,55,0,1b50f7adc69aef67,5942f7b459cb4357,bff5e4919cd9d9d2,0.9570552147239264,0.9747611865258923
joint,ordinary,20260923,single_host_ubuntu22_container,55,88,45,55,55,0,1b50f7adc69aef67,d7bb44bd868845c3,bff5e4919cd9d9d2,0.875,0.8177777777777777
joint,lineage,20260923,single_host_ubuntu22_container,55,88,45,55,55,0,1b50f7adc69aef67,d7bb44bd868845c3,bff5e4919cd9d9d2,0.9318181818181818,0.8881481481481482
shuffled,ordinary,20260921,env_ubuntu22_template_v1,305,55,45,55,55,0,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,0.9090909090909091,0.9399999999999997
shuffled,lineage,20260921,env_ubuntu22_template_v1,305,55,45,55,55,0,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,0.9636363636363636,0.977037037037037
shuffled,ordinary,20260921,env_ubuntu22_v1,306,54,44,110,54,54,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,0.9259259259259259,0.9537878787878786
shuffled,lineage,20260921,env_ubuntu22_v1,306,54,44,110,54,54,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,0.9629629629629629,0.9681818181818183
shuffled,ordinary,20260921,env_ubuntu22_v2,197,163,45,110,55,55,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,0.9141104294478528,0.9434065934065934
shuffled,lineage,20260921,env_ubuntu22_v2,197,163,45,110,55,55,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,0.9693251533742331,0.980854700854701
shuffled,ordinary,20260921,single_host_ubuntu22_container,272,88,45,110,55,55,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,0.9090909090909091,0.8659259259259258
shuffled,lineage,20260921,single_host_ubuntu22_container,272,88,45,110,55,55,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,0.9431818181818182,0.8859259259259259
shuffled,ordinary,20260922,env_ubuntu22_template_v1,305,55,45,55,55,0,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,0.9090909090909091,0.9399999999999997
shuffled,lineage,20260922,env_ubuntu22_template_v1,305,55,45,55,55,0,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,0.9636363636363636,0.977037037037037
shuffled,ordinary,20260922,env_ubuntu22_v1,306,54,44,110,54,54,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,0.9074074074074074,0.9440476190476189
shuffled,lineage,20260922,env_ubuntu22_v1,306,54,44,110,54,54,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,0.9444444444444444,0.9575757575757575
shuffled,ordinary,20260922,env_ubuntu22_v2,197,163,45,110,55,55,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,0.9079754601226994,0.9402645502645501
shuffled,lineage,20260922,env_ubuntu22_v2,197,163,45,110,55,55,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,0.9693251533742331,0.9807821807821807
shuffled,ordinary,20260922,single_host_ubuntu22_container,272,88,45,110,55,55,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,0.8863636363636364,0.8444444444444444
shuffled,lineage,20260922,single_host_ubuntu22_container,272,88,45,110,55,55,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,0.9545454545454546,0.9081481481481481
shuffled,ordinary,20260923,env_ubuntu22_template_v1,305,55,45,55,55,0,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,0.9090909090909091,0.9399999999999997
shuffled,lineage,20260923,env_ubuntu22_template_v1,305,55,45,55,55,0,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,0.9636363636363636,0.9777777777777777
shuffled,ordinary,20260923,env_ubuntu22_v1,306,54,44,110,54,54,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,0.9259259259259259,0.9522727272727273
shuffled,lineage,20260923,env_ubuntu22_v1,306,54,44,110,54,54,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,0.9629629629629629,0.9681818181818183
shuffled,ordinary,20260923,env_ubuntu22_v2,197,163,45,110,55,55,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,0.8895705521472392,0.9291795728637834
shuffled,lineage,20260923,env_ubuntu22_v2,197,163,45,110,55,55,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,0.9693251533742331,0.9816886816886817
shuffled,ordinary,20260923,single_host_ubuntu22_container,272,88,45,110,55,55,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,0.8863636363636364,0.8482539682539683
shuffled,lineage,20260923,single_host_ubuntu22_container,272,88,45,110,55,55,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,0.9545454545454546,0.9081481481481481
