seed,heldout,permutation,accuracy,macro_f1
20260921,env_ubuntu22_template_v1,81,0.0,0.0
20260921,env_ubuntu22_template_v1,82,0.03636363636363636,0.01150326797385621
20260921,env_ubuntu22_template_v1,83,0.03636363636363636,0.015238095238095238
20260921,env_ubuntu22_template_v1,84,0.03636363636363636,0.019259259259259257
20260921,env_ubuntu22_template_v1,85,0.03636363636363636,0.011111111111111112
20260921,env_ubuntu22_template_v1,86,0.01818181818181818,0.0074074074074074086
20260921,env_ubuntu22_template_v1,87,0.0,0.0
20260921,env_ubuntu22_template_v1,88,0.0,0.0
20260921,env_ubuntu22_template_v1,89,0.01818181818181818,0.00261437908496732
20260921,env_ubuntu22_template_v1,90,0.01818181818181818,0.014814814814814814
20260921,env_ubuntu22_template_v1,91,0.01818181818181818,0.014814814814814814
20260921,env_ubuntu22_template_v1,92,0.0,0.0
20260921,env_ubuntu22_template_v1,93,0.03636363636363636,0.023703703703703703
20260921,env_ubuntu22_template_v1,94,0.03636363636363636,0.029629629629629627
20260921,env_ubuntu22_template_v1,95,0.0,0.0
20260921,env_ubuntu22_template_v1,96,0.0,0.0
20260921,env_ubuntu22_template_v1,97,0.01818181818181818,0.022222222222222223
20260921,env_ubuntu22_template_v1,98,0.05454545454545454,0.04074074074074074
20260921,env_ubuntu22_template_v1,99,0.0,0.0
20260921,env_ubuntu22_v1,0,0.0,0.0
20260921,env_ubuntu22_v1,1,0.0,0.0
20260921,env_ubuntu22_v1,2,0.018518518518518517,0.014814814814814814
20260921,env_ubuntu22_v1,3,0.018518518518518517,0.008888888888888889
20260921,env_ubuntu22_v1,4,0.0,0.0
20260921,env_ubuntu22_v1,5,0.018518518518518517,0.0020202020202020198
20260921,env_ubuntu22_v1,6,0.018518518518518517,0.022222222222222223
20260921,env_ubuntu22_v1,7,0.018518518518518517,0.005555555555555556
20260921,env_ubuntu22_v1,8,0.0,0.0
20260921,env_ubuntu22_v1,9,0.018518518518518517,0.00404040404040404
20260921,env_ubuntu22_v1,10,0.018518518518518517,0.022222222222222223
20260921,env_ubuntu22_v1,11,0.018518518518518517,0.022222222222222223
20260921,env_ubuntu22_v1,12,0.0,0.0
20260921,env_ubuntu22_v1,13,0.037037037037037035,0.004678362573099415
20260921,env_ubuntu22_v1,14,0.037037037037037035,0.026666666666666665
20260921,env_ubuntu22_v1,15,0.0,0.0
20260921,env_ubuntu22_v1,16,0.018518518518518517,0.005050505050505051
20260921,env_ubuntu22_v1,17,0.018518518518518517,0.00404040404040404
20260921,env_ubuntu22_v1,18,0.018518518518518517,0.022222222222222223
20260921,env_ubuntu22_v1,19,0.018518518518518517,0.0020202020202020198
20260921,env_ubuntu22_v1,20,0.018518518518518517,0.022222222222222223
20260921,env_ubuntu22_v1,21,0.0,0.0
20260921,env_ubuntu22_v1,22,0.07407407407407407,0.04319384319384319
20260921,env_ubuntu22_v1,23,0.018518518518518517,0.022727272727272728
20260921,env_ubuntu22_v1,24,0.0,0.0
20260921,env_ubuntu22_v1,25,0.0,0.0
20260921,env_ubuntu22_v1,26,0.0,0.0
20260921,env_ubuntu22_v1,27,0.0,0.0
20260921,env_ubuntu22_v1,28,0.0,0.0
20260921,env_ubuntu22_v1,29,0.018518518518518517,0.006349206349206349
20260921,env_ubuntu22_v1,30,0.018518518518518517,0.022222222222222223
20260921,env_ubuntu22_v1,31,0.0,0.0
20260921,env_ubuntu22_v1,32,0.07407407407407407,0.06172839506172839
20260921,env_ubuntu22_v1,33,0.018518518518518517,0.008888888888888889
20260921,env_ubuntu22_v1,34,0.0,0.0
20260921,env_ubuntu22_v1,35,0.018518518518518517,0.009090909090909092
20260921,env_ubuntu22_v1,36,0.018518518518518517,0.0074074074074074086
20260921,env_ubuntu22_v1,37,0.018518518518518517,0.00261437908496732
20260921,env_ubuntu22_v1,38,0.0,0.0
20260921,env_ubuntu22_v1,39,0.0,0.0
20260921,env_ubuntu22_v1,40,0.05555555555555555,0.015343915343915344
20260921,env_ubuntu22_v1,41,0.018518518518518517,0.00404040404040404
20260921,env_ubuntu22_v1,42,0.018518518518518517,0.00404040404040404
20260921,env_ubuntu22_v1,43,0.0,0.0
20260921,env_ubuntu22_v1,44,0.0,0.0
